SI Deployment Checklist — Organized by HubSpot CRM Sales Pipeline Stages,,,,,,,,,,,,,,
Combined Internal + External checklist organized by deployment lifecycle. [Internal] = Instrumental team only. [External] = Customer/CM/SI facing. [Both] = Joint responsibility.,,,,,,,,,,,,,,
Lifecycle: SIRD Drafting > SIRD Approved > DFM (SI) > DFM Approved > Quote Received > Quote Approved > PO Issued > Build > FAT > Shipped > SAT > Warranty/Legal Window > Deployment Complete,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#,Stage,Type,Checklist Item,Gating (Yes / no),IN Team Ownership,Date (T-X days from 2+2+2),Status,Documentation / SOP link,,,,,,
1. SIRD DRAFTING,,,,,,,,,,,,,Acronyms,
1.1,1,[Internal],"Scope AOI use case with customer and site (product, inspection type, line layout)",,SA / HDE,,,,,,,,SA,Solutions Architect
1.2,1,[Internal],"Define imaging requirements (camera type, lens, lighting, working distance, resolution)",,SA / HDE,,,,,,,,CSE,Customer Success Executive 
1.3,1,[Internal],"Define mechanical requirements (fixture dimensions, mounting interfaces, GD&T, CTQs)",,SA / HDE,,,,,,,,FDE,Forward Deployed Engineer 
1.4,1,[Internal],"Define automation requirements (cycle time target, UPH target, motion control type)",,SA / HDE,,,,,,,,TPM,Technical Program Manager 
1.5,1,[Internal],Define performance specs: Target UPH: ___ | Cycle time/unit: ___ | Automation sequence budget: ___ | AI + operator review budget: ___,,SA / HDE,,,,,,,,HDE,Hardware Design Engineer
1.6,1,[Internal],"Include calibration and validation procedures (aperture, focus, gain)",,TPM ,,,,,,,,SI PM ,Systems Integrator Program Manager
1.7,1,[Internal],Include 2D drawings (Section 7.3) and provide 3D CAD models of imaging hardware to SI,,SA / HDE,,,,,,,,,
1.8,1,[Internal],"SIRD version-controlled and stored in shared repository (e.g., Google Drive)",,SI PM ,,,,,,,,,
1.9,1,[External],"Customer confirms product scope, inspection priorities, and line/site details",,CSE,,,,,,,,,
2. SIRD APPROVED,,,,,,,,,,,,,,
2.1,2,[Internal],Cross-functional review completed: HDE / SA / TPM / Product Mgmt reviewed and approved SIRD,,,,,,,,,,,
2.2,2,[Internal],SIRD version number locked: ___,,,,,,,,,,,
2.3,2,[Both],SI acknowledged receipt and confirmed understanding of SIRD,,,,,,,,,,,
2.4,2,[Both],Customer (OEM) acknowledged and approved SIRD scope,,,,,,,,,,,
2.5,2,[Internal],SIRD sent to SI with all referenced drawings and CAD files,,,,,,,,,,,
2.6,2,[Internal],SIRD templatization status confirmed (reusable for future deployments),,,,,,,,,,,
3. DFM (SI),,,,,,,,,,,,,,
3.1,3,[Internal],"SI DFM package received (mechanical fixture design, automation layout, electrical design)",,,,,,,,,,,
3.2,3,[Internal],"Mechanical fixture design reviewed: dimensions, tolerances, material selection",,,,,,,,,,,
