"Deployment Checklist — IN Internal Parties, organized by functional area ",,,,,,,,,,,,
"internal checklist for standard + standalone stations, i.e. where instrumental is responsible for desiging, procuring, and installing hardware, MES, image streams, data streams",,,,,,,,,,,,
,,,,,,,,,,,,
#,Hubspot Stage,Checklist Item,Gating (Yes / no / project specific),Check ,IN Team Ownership,Projected Completion date (T-X days from 2+2+2),Actual Completion Date,Project Specific Roadblocks,Documentation / SOP link,,,
1. Design & CAD Release,,,,,,,,,,,Acronyms,
1.1,CAD finalized,CAD Finalized ,,FALSE,,,,,,,SA,Solutions Architect
1.1.1,CAD GD&T (Critical dimensions highlighted as CTQs),"CAD GD&T, critical dimensions highlighted as CTQs",,FALSE,,,,,,,CSE,Customer Success Executive 
1.1.2,CAD drawing packet available in PDF format,CAD drawing packet available in PDF format ,,FALSE,,,,,,,FDE,Forward Deployed Engineer 
1.1.3,Acceptable tolerances/clear definitions for critical specs (e.g. working distance),Acceptable tolerances and clear definitions for critical specs (e.g. working distance),,FALSE,,,,,,,TPM,Technical Program Manager 
1.2,Mounting interfaces validated (station + line compatibility),Mounting interfaces validated for station and line compatibility ,,FALSE,,,,,,,HDE,Hardware Design Engineer
1.3,BOM finalized and approved,BOM Finalized and approved,,FALSE,,,,,,,SI PM ,Systems Integrator Program Manager
1.4,Cross-functional review completed (TPM + SA + CS),Scoping document released,,FALSE,,,,,,,,
1.5,Cross-functional review completed (TPM + SA + CS),Cross functional internal review of scope (SA+CSE+TPM) completed,,FALSE,,,,,,,,
,,,,,,,,,,,,
2. Machine Shop / Fabrication Readiness ,,,,,,,,,,,,
2.1,,CAD and drawing shared with machine shop,,FALSE,,,,,,,,
2.2,,Lead times confirmed (Timeline with deployment/Material availability confirmed),,FALSE,,,,,,,,
2.3,,Assembly instructions documented (if non-trivial),,FALSE,,,,,,,,
2.4,,Factory dimensional validation POC and procedure documented to ensure design compliance ,,FALSE,,,,,,,,
,,,,,,,,,,,,
3. Custom parts & Procurement,,,,,,,,,,,,
3.1,,All parts identified as either MTO/OTS (Made to order/Off the shelf),,FALSE,,,,,,,,
3.2,,"Long lead items flagged, tracked, and ordered in advance if necessary",,FALSE,,,,,,,,
3.3,,Spare parts identified and ordered,,FALSE,,,,,,,,
3.4,,All parts in house to be assembled and ready for shipment,,FALSE,,,,,,,,
3.5,,Lead times for MTOs confirmed,,FALSE,,,,,,,,
,,,,,,,,,,,,
4. System Integration Readiness,,,,,,,,,,,,
4.1,,Compute hardware sized for workload,,FALSE,,,,,,,,
4.2,,Network requirements defined,,FALSE,,,,,,,,
4.3,,Power requirements defined,,FALSE,,,,,,,,
4.4,,Cable length requirements validated vs real layout,,FALSE,,,,,,,,
4.5,,All required cables/adapters included in BOM,,FALSE,,,,,,,,
4.6,,Extra hardware scoped and prepped in advance of shipment,,FALSE,,,,,,,,
,,,,,,,,,,,,
"5. Software & Data Readiness, FAT",,,,,,,,,,,,
5.1,,Unit tracking / barcode logic verified,,FALSE,,,,,,,,
5.2,,Data storage + access confirmed,,FALSE,,,,,,,,
5.3,,Offline fallback plan defined (if network drops),,FALSE,,,,,,,,
,,,,,,,,,,,,
6. Deployment Planning,,,,,,,,,,,,
6.1,,Exact station location defined and documented clearly,,FALSE,,,,,,,,
6.2,,Installation procedure documented,,FALSE,,,,,,,,
6.3,,Daily deployment schedule established,,FALSE,,,,,,,,
6.4,,Dry run or simulation completed (if possible),,FALSE,,,,,,,,
,,,,,,,,,,,,
7. Internal Sign Off,,,,,,,,,,,,
7.1,,TPM Approval,,FALSE,,,,,,,,
7.2,,SA Approval,,FALSE,,,,,,,,
7.3,,CSE Approval,,FALSE,,,,,,,,
,,,,,,,,,,,,
Notes / Additional Items:,,,,,,,,,,,,
